Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST
nc,51195074,1,"Monday, January 21, 2008 21:59:59 UTC",38.8268,-122.8277,1.0,2.20,10
nc,51195073,1,"Monday, January 21, 2008 21:40:49 UTC",36.0530,-120.6512,1.1,1.80, 9
ak,00025218,1,"Monday, January 21, 2008 21:35:00 UTC",63.0304,-149.6370,2.2,84.40,22
ci,14344024,1,"Monday, January 21, 2008 20:45:44 UTC",33.4206,-116.2076,1.6,8.30,13
ak,00025216,1,"Monday, January 21, 2008 20:43:54 UTC",61.0008,-151.3348,2.8,62.80,29
nc,51195072,1,"Monday, January 21, 2008 20:31:58 UTC",36.8390,-121.2987,1.8,4.10,34
ci,14344020,1,"Monday, January 21, 2008 20:16:09 UTC",33.9316,-117.0368,1.2,0.50,39
nc,51195071,1,"Monday, January 21, 2008 20:14:55 UTC",41.8828,-122.5210,2.1,5.00, 9
nc,51195070,1,"Monday, January 21, 2008 20:12:51 UTC",38.8235,-122.7985,1.4,2.20,20
ak,00025215,1,"Monday, January 21, 2008 20:03:23 UTC",63.1004,-144.1199,1.8,44.30,04
ci,14344016,1,"Monday, January 21, 2008 19:59:40 UTC",35.5251,-118.3636,1.4,5.80,29
ci,14344012,1,"Monday, January 21, 2008 19:57:54 UTC",32.5711,-116.7853,1.7,2.30,22
ak,00025214,1,"Monday, January 21, 2008 19:21:44 UTC",51.8181,-178.0287,2.1,23.30,05
ci,14344000,1,"Monday, January 21, 2008 19:20:02 UTC",35.0868,-118.5655,1.8,2.20,12
ak,00025213,1,"Monday, January 21, 2008 18:24:13 UTC",61.2870,-152.5127,2.1,0.00,04
ak,00025211,1,"Monday, January 21, 2008 18:18:46 UTC",63.5055,-147.3064,1.9,0.00,16
nc,51195063,1,"Monday, January 21, 2008 18:12:48 UTC",38.8198,-122.8002,1.0,0.50,13
ak,00025208,1,"Monday, January 21, 2008 17:13:33 UTC",54.4235,-164.6169,1.8,75.30,08
hv,00027572,0,"Monday, January 21, 2008 16:43:52 UTC",19.4012,-155.2825,1.9,1.70,00
nc,51195056,1,"Monday, January 21, 2008 16:41:01 UTC",38.8298,-122.8095,1.0,1.50,12
uw,01211616,1,"Monday, January 21, 2008 16:16:51 UTC",46.8699,-121.9548,1.5,8.30,26
ci,14343988,1,"Monday, January 21, 2008 15:54:59 UTC",33.0470,-115.5905,1.6,17.80,32
ak,00025206,1,"Monday, January 21, 2008 15:51:14 UTC",63.2275,-151.3328,1.0,0.00,08
ci,14343984,1,"Monday, January 21, 2008 15:35:28 UTC",35.3563,-118.5800,2.4,6.60,46
ak,00025205,1,"Monday, January 21, 2008 15:34:11 UTC",63.4731,-147.6497,1.6,0.80,09
us,2008mlav,6,"Monday, January 21, 2008 15:28:35 UTC",-10.5729,41.5442,4.9,10.00,23
nc,51195053,1,"Monday, January 21, 2008 14:43:24 UTC",38.8253,-122.7967,1.4,3.50,17
ak,00025204,1,"Monday, January 21, 2008 14:37:45 UTC",51.5825,-177.0774,2.0,47.60,07
nc,51195051,1,"Monday, January 21, 2008 14:24:05 UTC",38.8180,-122.7865,1.2,1.80,16
nc,51195050,1,"Monday, January 21, 2008 14:21:19 UTC",37.3518,-121.7142,1.7,8.30,39
ak,00025201,1,"Monday, January 21, 2008 14:02:48 UTC",61.9405,-150.3268,2.0,10.30,08
ci,14343980,1,"Monday, January 21, 2008 13:37:20 UTC",33.8413,-117.6793,1.4,4.20,36
ak,00025199,1,"Monday, January 21, 2008 13:32:20 UTC",61.1723,-151.2927,2.3,53.90,24
us,2008mlar,8,"Monday, January 21, 2008 12:24:27 UTC",-34.8718,-111.9547,5.6,10.00,138
nn,00230242,1,"Monday, January 21, 2008 12:17:42 UTC",37.7660,-116.3630,1.4,8.00,32
nc,51195047,1,"Monday, January 21, 2008 12:09:29 UTC",37.4287,-121.7725,1.8,8.60,39
ak,00025198,1,"Monday, January 21, 2008 11:11:01 UTC",55.1835,-162.8334,2.5,100.00,05
ak,00025196,1,"Monday, January 21, 2008 11:05:18 UTC",51.7112,-177.8795,2.2,25.70,09
ak,00025195,1,"Monday, January 21, 2008 11:02:33 UTC",61.6380,-140.4484,3.3,0.00,07
nc,51195046,1,"Monday, January 21, 2008 10:54:25 UTC",38.8287,-122.8280,1.5,2.60,18
ak,00025193,1,"Monday, January 21, 2008 10:26:54 UTC",63.5579,-147.1990,1.7,0.10,10
nc,51195045,1,"Monday, January 21, 2008 10:12:25 UTC",37.4278,-121.7773,1.4,10.00,16
ak,00025191,1,"Monday, January 21, 2008 09:32:28 UTC",63.5432,-147.2978,1.4,0.10,11
nc,51195043,1,"Monday, January 21, 2008 07:44:34 UTC",38.7832,-122.7453,1.5,1.50,14
ak,00025190,1,"Monday, January 21, 2008 07:38:17 UTC",53.4125,-168.0977,3.1,80.70,10
ci,14343960,1,"Monday, January 21, 2008 07:14:34 UTC",32.7848,-115.6758,2.3,12.50,52
nm,hwb0121a,A,"Monday, January 21, 2008 07:02:55 UTC",36.4700,-89.5000,1.7,5.70,23
ak,00025188,1,"Monday, January 21, 2008 06:49:19 UTC",64.5058,-152.1553,1.7,4.40,05
nc,51195040,1,"Monday, January 21, 2008 06:48:38 UTC",38.8338,-122.7997,1.7,2.60,21
nc,51195038,1,"Monday, January 21, 2008 06:33:49 UTC",37.4112,-121.7525,1.3,10.00,13
nc,51195037,1,"Monday, January 21, 2008 06:31:10 UTC",37.1228,-121.5318,1.3,7.00,11
ak,00025187,1,"Monday, January 21, 2008 06:23:28 UTC",64.3834,-149.8451,1.3,25.00,07
nc,51195036,1,"Monday, January 21, 2008 06:08:18 UTC",37.1252,-121.5272,1.9,7.20,59
nc,51195035,1,"Monday, January 21, 2008 06:03:01 UTC",38.8207,-122.8110,1.7,2.10,19
ak,00025182,1,"Monday, January 21, 2008 05:53:18 UTC",53.8597,-165.4974,2.6,54.70,09
nc,51195034,1,"Monday, January 21, 2008 05:49:40 UTC",38.8140,-122.7857,1.2,1.70,13
nc,51195033,1,"Monday, January 21, 2008 05:36:54 UTC",38.8263,-122.8293,1.5,2.70,16
ak,00025181,1,"Monday, January 21, 2008 05:29:53 UTC",60.6006,-151.7301,1.9,26.00,06
nc,51195031,1,"Monday, January 21, 2008 05:05:33 UTC",37.9480,-122.0298,1.0,10.70, 8
ci,14343952,1,"Monday, January 21, 2008 04:39:52 UTC",32.8476,-115.6048,1.3,16.30,24
ak,00025179,1,"Monday, January 21, 2008 04:28:55 UTC",64.4099,-149.8364,2.1,8.10,15
ak,00025178,1,"Monday, January 21, 2008 04:23:13 UTC",63.3903,-151.4471,1.7,9.60,11
ak,00025176,1,"Monday, January 21, 2008 04:15:17 UTC",61.5039,-151.4955,1.5,61.60,13
nc,51195028,1,"Monday, January 21, 2008 04:00:15 UTC",37.5748,-118.8702,1.5,3.90,20
us,2008mlai,7,"Monday, January 21, 2008 03:41:35 UTC",-34.6635,-112.2904,4.7,10.00,24
nc,51195024,1,"Monday, January 21, 2008 03:33:20 UTC",38.8178,-122.7872,1.3,1.80,15
ak,00025172,1,"Monday, January 21, 2008 03:30:47 UTC",63.8654,-149.7675,1.7,19.70,05
hv,00027569,0,"Monday, January 21, 2008 03:25:05 UTC",19.8717,-155.5250,3.2,24.60,00
ci,14343940,1,"Monday, January 21, 2008 03:24:19 UTC",33.0081,-116.3368,1.4,9.10,44
us,2008mlae,7,"Monday, January 21, 2008 03:24:13 UTC",46.2694,153.5371,4.7,58.40,38
ci,14343936,1,"Monday, January 21, 2008 03:23:47 UTC",33.6501,-116.7285,1.0,18.90,40
