"","x"
"1",10.7
"2",8.8
"3",7.5
"4",6.9
"5",11.8
"6",14.8
"7",16.9
"8",11.9
"9",11.2
"10",10.6
"11",10.9
"12",10
"13",9.5
"14",14.6
"15",11.7
"16",13.4
"17",13.9
"18",13.5
"19",10.9
"20",10.3
"21",9.3
"22",12.4
"23",15.6
"24",16.6
"25",15.4
"26",14.1
"27",10.1
"28",13.6
"29",19
"30",18.2
"31",18.5
"32",18.9
"33",19.8
"34",17.4
"35",14
"36",11.8
"37",12.8
"38",12.8
"39",13.9
"40",14.6
"41",13.1
"42",12.6
"43",17.3
"44",14.4
"45",15.4
"46",14.3
"47",12.7
"48",14.1
"49",15.7
"50",18.4
"51",16
"52",15.6
"53",13.6
"54",13.6
"55",13.1
"56",16.1
"57",16.6
"58",18.5
"59",15.7
"60",15
"61",17.7
"62",17.7
"63",20.1
"64",21.9
"65",22.8
"66",20.8
"67",19.8
"68",19.7
"69",20.9
"70",23.7
"71",24.2
"72",19.6
"73",19.4
"74",22.3
"75",19.7
"76",20.3
"77",18.1
"78",17.7
"79",18.6
"80",18.1
"81",20.3
"82",21.4
"83",21.5
"84",19.9
"85",18.7
"86",18.6
"87",18.6
"88",20.3
"89",19.8
"90",18.2
"91",19.2
"92",21.7
"93",23.4
"94",18.7
"95",18.7
"96",17.7
"97",17.8
"98",17.3
"99",17.5
"100",17.8
"101",16.7
"102",17.1
"103",16.3
"104",16.4
"105",20.3
"106",21
"107",19.1
"108",17.8
"109",18.2
"110",16.7
"111",17.7
"112",19.1
"113",18.8
"114",17.9
"115",20.2
"116",19.7
"117",19.8
"118",16.7
"119",.
"120",19.7
"121",24.1
"122",20.8
