"","time"
"1",3.44029110856354
"2",3.46110049868003
"3",8.01357550080866
"4",36.7353284615092
"5",36.7893144371919
"6",38.3976606535725
"7",40.0661101564765
"8",40.5079432646744
"9",48.4295083326288
"10",49.02583649382
"11",52.1439433796331
"12",54.6909937518649
"13",62.8030894207768
"14",70.9323188872077
"15",71.305401599966
"16",75.3069793223403
"17",84.67403735267
"18",96.2355994153768
"19",103.345493087545
"20",106.65204616962
"21",111.724286922254
"22",115.763608214911
"23",143.892451026477
"24",149.773404933512
"25",151.012203737628
"26",151.564367732499
"27",158.652145799715
"28",158.804317936301
"29",159.624017006718
"30",166.309980326332
"31",166.680074983742
"32",200.174597720616
"33",202.062612387817
"34",208.070492662955
"35",208.147754264064
"36",233.772690535989
"37",240.669797407463
"38",252.418388368096
"39",266.928003157955
"40",267.289013182744
"41",270.255765318871
"42",273.961271613371
"43",278.613338724244
"44",287.654521351214
"45",308.706024766434
"46",312.040277442429
"47",315.461280883756
"48",321.80811278522
"49",328.918303234968
"50",330.008109856863
"51",338.398138107732
"52",339.69546596054
"53",352.144442475401
"54",354.792633769102
"55",366.876938741188
"56",370.441169373225
"57",377.852311509196
"58",378.499675577041
"59",393.486480414867
"60",397.519366582856
"61",400.938602373935
"62",403.886269032955
"63",414.006531762425
"64",415.159418527037
"65",420.998105162289
"66",424.579650140367
"67",426.271105732303
"68",445.729122543707
"69",451.102363259997
"70",462.378781090956
"71",466.523407271598
"72",469.206719263457
"73",481.430844462011
"74",495.630211662501
"75",496.408482035622
"76",499.310827080626
"77",501.219167304225
"78",503.905464627314
"79",516.366885066964
"80",516.676652454771
"81",536.952734924853
"82",539.520234498195
"83",545.492992561776
"84",547.038412850816
"85",547.074791940395
"86",548.628197226208
"87",553.917998040561
"88",568.593444454018
"89",570.91811534483
"90",573.687670205254
"91",579.432302713394
"92",602.244809828699
"93",603.280604747124
"94",611.11094468506
"95",620.710603543557
"96",621.102859359235
"97",622.098555858247
"98",625.95753823407
"99",640.455130580813
"100",640.535117965192
